3060,0.0024,0.17,16.12,Red,M,1
2950,0.0021,0.18,16.5,Red,M,1
3110,0.0023,0.16,15.8,Red,M,1
2800,0.0018,0.15,17.2,Red,M,1
3020,0.0025,0.19,15.95,Red,M,1
2980,0.0022,0.17,16.7,Red,M,1
3150,0.0027,0.21,15.6,Red,M,1
2900,0.002,0.16,17,Red,M,1
3080,0.0024,0.18,16.3,Red,M,1
3010,0.0023,0.19,15.75,Red,M,1
3042,0.0005,0.1542,16.6,Red,M,1
3030,0.0006,0.151,16.7,Red,M,1
3065,0.0004,0.1555,16.5,Red,M,1
3048,0.0005,0.153,16.8,Red,M,1
3035,0.0006,0.1525,16.4,Red,M,1
3050,0.0004,0.155,16.9,Red,M,1
3028,0.0005,0.1535,16.3,Red,M,1
3040,0.0006,0.1505,16.2,Red,M,1
3062,0.0004,0.1528,16.1,Red,M,1
3055,0.0005,0.1552,16,Red,M,1
2600,0.0003,0.102,18.7,Red,M,1
2595,0.0004,0.103,18.5,Red,M,1
2608,0.0002,0.101,18.9,Red,M,1
2590,0.0003,0.104,18.6,Red,M,1
2602,0.0004,0.105,18.8,Red,M,1
2598,0.0002,0.1,18.4,Red,M,1
2605,0.0003,0.103,18.3,Red,M,1
2593,0.0004,0.104,18.2,Red,M,1
2604,0.0002,0.101,18.1,Red,M,1
2597,0.0003,0.105,18,Red,M,1
2800,0.0002,0.16,16.65,Red,M,1
2795,0.0003,0.159,16.68,Red,M,1
2805,0.0001,0.161,16.62,Red,M,1
2790,0.0002,0.158,16.67,Red,M,1
2802,0.0003,0.162,16.63,Red,M,1
2798,0.0001,0.157,16.66,Red,M,1
2803,0.0002,0.159,16.64,Red,M,1
2793,0.0003,0.163,16.61,Red,M,1
2804,0.0001,0.158,16.69,Red,M,1
2797,0.0002,0.162,16.6,Red,M,1
1939,0.000138,0.103,20.06,Red,M,1
1935,0.000139,0.104,19.98,Red,M,1
1940,0.000137,0.102,20.14,Red,M,1
1937,0.000138,0.105,20.05,Red,M,1
1936,0.000139,0.101,20.12,Red,M,1
1938,0.000137,0.106,19.96,Red,M,1
1934,0.000138,0.102,20.08,Red,M,1
1942,0.000139,0.103,20.02,Red,M,1
1933,0.000137,0.104,19.94,Red,M,1
1941,0.000138,0.105,20,Red,M,1
2840,0.00065,0.11,16.98,Red,M,1
2835,0.00066,0.109,17.02,Red,M,1
2845,0.00064,0.111,16.96,Red,M,1
2838,0.00065,0.108,17,Red,M,1
2837,0.00066,0.112,16.94,Red,M,1
2839,0.00064,0.109,17.06,Red,M,1
2834,0.00065,0.111,16.92,Red,M,1
2842,0.00066,0.108,16.9,Red,M,1
2833,0.00064,0.112,16.88,Red,M,1
2841,0.00065,0.11,16.86,Red,M,1
2637,0.00073,0.127,17.22,Red,M,1
2635,0.00074,0.126,17.25,Red,M,1
2639,0.00072,0.128,17.2,Red,M,1
2636,0.00073,0.125,17.18,Red,M,1
2638,0.00074,0.129,17.16,Red,M,1
2634,0.00072,0.126,17.14,Red,M,1
2640,0.00073,0.13,17.12,Red,M,1
2633,0.00074,0.127,17.1,Red,M,1
2632,0.00072,0.131,17.08,Red,M,1
2641,0.00073,0.128,17.06,Red,M,1
2629,0.00074,0.132,17.04,Red,M,1
2630,0.00072,0.129,17.02,Red,M,1
2642,0.00073,0.133,17,Red,M,1
2631,0.00074,0.13,16.98,Red,M,1
2628,0.00072,0.134,16.96,Red,M,1
2643,0.00073,0.131,16.94,Red,M,1
2627,0.00074,0.135,16.92,Red,M,1
2644,0.00072,0.132,16.9,Red,M,1
2626,0.00073,0.136,16.88,Red,M,1
2645,0.00074,0.133,16.86,Red,M,1
2600,0.0004,0.096,17.4,Red,M,1
2598,0.00041,0.095,17.43,Red,M,1
2602,0.00039,0.097,17.38,Red,M,1
2601,0.0004,0.094,17.36,Red,M,1
2599,0.00041,0.098,17.34,Red,M,1
2597,0.00039,0.095,17.32,Red,M,1
2603,0.0004,0.099,17.3,Red,M,1
2596,0.00041,0.096,17.28,Red,M,1
2595,0.00039,0.1,17.26,Red,M,1
2604,0.0004,0.097,17.24,Red,M,1
2594,0.00041,0.094,17.22,Red,M,1
2605,0.00039,0.098,17.2,Red,M,1
2606,0.0004,0.095,17.18,Red,M,1
2593,0.00041,0.099,17.16,Red,M,1
2607,0.00039,0.096,17.14,Red,M,1
2592,0.0004,0.1,17.12,Red,M,1
2608,0.00041,0.097,17.1,Red,M,1
2591,0.00039,0.095,17.08,Red,M,1
2609,0.0004,0.098,17.06,Red,M,1
2590,0.00041,0.094,17.04,Red,M,1
2650,0.00069,0.11,17.45,Red,M,1
2648,0.0007,0.109,17.48,Red,M,1
2652,0.00068,0.111,17.43,Red,M,1
2651,0.00069,0.108,17.41,Red,M,1
2649,0.0007,0.112,17.39,Red,M,1
2647,0.00068,0.109,17.37,Red,M,1
2653,0.00069,0.113,17.35,Red,M,1
2646,0.0007,0.11,17.33,Red,M,1
2645,0.00068,0.114,17.31,Red,M,1
2654,0.00069,0.111,17.29,Red,M,1
2644,0.0007,0.108,17.27,Red,M,1
2655,0.00068,0.112,17.25,Red,M,1
2656,0.00069,0.109,17.23,Red,M,1
2643,0.0007,0.113,17.21,Red,M,1
2657,0.00068,0.11,17.19,Red,M,1
